authors;publication;link;title;journal;doi;citations;database;forward_from;relevance;issn;jq3_ranking;abstract
Edward Hult, Houyuan Jiang & Daniel Ralph ;2013;https://link.springer.com/article/10.1007/s10589-013-9629-5;Exact computational approaches to a stochastic uncapacitated single allocation p-hub center problem;Computational Optimization and Applications;https://doi.org/10.1007/s10589-013-9629-5;30;springer_article;gurvich_et_al_2008;False;unknown;k.R.;Abstract The stochastic uncapacitated single allocation p-hub center problem is an extension of the deterministic version which aims to minimize the longest origin-destination path in a hub and spoke network. Considering the stochastic nature of travel times on links is important when designing a network to guarantee the quality of service measured by a maximum delivery time for a proportion of all deliveries. We propose an efficient reformulation for a stochastic p-hub center problem and develop exact solution approaches based on variable reduction and a separation algorithm. We report numerical results to show effectiveness of our new reformulations and approaches by finding global solutions of small-medium sized problems. The combination of model reformulation and a separation algorithm is particularly noteworthy in terms of computational speed.
Eija Haapalainen- Perttu Laurinen- Juha Röning- Hannu Kinnunen All Authors;2008;https://ieeexplore.ieee.org/abstract/document/4725069/;Estimation of Exercise Energy Expenditure Using a Wrist-Worn Accelerometer: A Linear Mixed Model Approach with Fixed-Effect Variable Selection;2008 Seventh International Conference on Machine Learning and Applications;https://doi.org/10.1109/ICMLA.2008.131;10;ieeexplore;bhandari_et_al_2008;False;unknown;k.R.;Abstract: This article presents an approach to estimating exercise energy expenditure based on acceleration measurements from a wrist-worn biaxial sensor. The method uses the linear mixed model that makes it possible to model both between-subject and within-subject variation in energy expenditure. More precisely, a random-intercepts model is used. The variance and mean of the acceleration signals at 15-second intervals as well as subject demographics (height, weight, body mass index, age and VO2max) are used. Energy expenditure is modelled in four different activities: walking, running, Nordic walking and bicycling. This study introduces an effective backward model selection procedure for selecting the fixed-effect variables in the model. The procedure uses leave-one-out cross-validation to be able to effectively exploit the available data set and to ensure the robustness of the model. Estimation accuracy in test sets is used as a criterion of model performance. The model selection procedure proposed notably improves estimation accuracy. In walking, running, Nordic walking and bicycling, average estimation errors of 3.9, 3.6, 1.9 and13.5 percent are reached. The respective Pearson correlations for these activities are 0.91, 0.98, 0.97, and 0.81. These results are also compared to the performance of the general linear model. It is discovered that the linear mixed model outperforms the model that does not take the individual levels of energy expenditure of the subjects into account.
Elodie Adida , Fernanda Bravo;2018;https://pubsonline.informs.org/doi/abs/10.1287/mnsc.2017.3000;Contracts for Healthcare Referral Services: Coordination via Outcome-Based Penalty Contracts;Management Science;https://doi.org/10.1287/mnsc.2017.3000;67;pubsonline;ren_zhou_et_al_2008;True;0025-1909;A+;Abstract This work focuses on the business-to-business interaction between a service requester and a service provider in a healthcare environment. The requester is the primary caregiver responsible for managing the health of a population of patients. When a patient requires advanced care outside of the requester’s expertise, the requester refers the patient to a provider and pays for the referral services. Treatment may succeed or fail, and in the case of failure, the requester incurs further follow-up costs. The requester may exert preventive effort to reduce the volume of referrals. The provider may exert nonreimbursable effort to reduce the chance of treatment failure. We analyze payment contracts between the two firms. We find that fee-for-service (FFS) induces neither system nor social optimum effort outcomes. However, a penalty contract can generally coordinate the effort decisions with either the system optimum or the social optimum. Furthermore, we find that patients may benefit from having a coordinating contract replace FFS. However, the types of procedures that make a coordinating contract most advantageous for the requester and provider are not necessarily the same as those that make the patients better off than under FFS. Yet, in most cases, the coordinating contract improves social welfare, as compared to FFS, and brings it close to the social optimum. Hence, the requester–provider coordinating contract can be considered as an improvement over FFS for the entire system. The online appendix is available at https://doi.org/10.1287/mnsc.2017.3000. This paper was accepted by Serguei Netessine, operations management.
Elvin Coban,  Aliza Heching,  Alan Scheller-Wolf;2018;https://onlinelibrary.wiley.com/doi/abs/10.1111/poms.12951;Service Center Staffing with Cross-Trained Agents and Heterogeneous Customers;Production and Operations Management;https://doi.org/10.1111/poms.12951;1;wiley;cezik_l_ecuyer_2008,feldman_et_al_2008;True;1059-1478;A;Abstract We model a real-world service center with cross-trained agents serving customer requests that are heterogeneous with respect to complexity and priority levels: High priority requests preempt low priority requests and low-skilled agents can only serve less complex requests, while high skilled agents can serve all requests. Our main aim is to dynamically assign requests to agents considering the priority and complexity levels of requests. We model this system as a Markov chain that is infinite in multiple dimensions and thus is not amenable to exact analysis. We therefore apply approximation and bounding techniques to develop a tractable, novel algorithm using the Matrix Analytic Method. Our algorithm closely approximates the operations of the real-world service system under a simple but effective threshold-based request-assignment policy. Extensive computational results demonstrate the usefulness of our algorithm to minimize costs given an existing staffing configuration, as well as in helping to make long-term staffing decisions. In addition, our algorithm also has at least two orders of magnitude shorter computation times than each replication of simulation. Hence, it is both fast and accurate.
Emanuele Manni ;2008;https://link.springer.com/article/10.1007/s10288-008-0081-9;Topics in real-time fleet management;4OR;https://doi.org/10.1007/s10288-008-0081-9;6;springer_article;atlason_et_al_2007;True;1619-4500;C;Abstract This is a summary of the author’s Ph.D. thesis, supervised by Gianpaolo Ghiani and Barrett W. Thomas and defended on 21 February 2008, at the Università degli Studi della Calabria. The thesis is written in English and is available from the author upon request. In this work, various tactical and operational issues concerning real-time fleet management are studied. First, we introduce the Dynamic and Stochastic Traveling Salesman Problem and propose an optimal policy through a Markov Decision Process as well as develop lower and upper bounds on the optimal policy cost. Then, we present several strategies for implementing a priori routes, and we identify situations in which the use of more involved a priori strategies can give some benefit. Next, we consider the Dynamic and Stochastic Vehicle Dispatching Problem with Pickups and Deliveries, for which we develop anticipatory algorithms that evaluate alternative solutions through a short-term demand sampling and a fully sequential procedure for indifference zone selection. Finally, we propose Approximated Neighborhood Evaluation procedures for the same-day Courier Shift Scheduling Problem, a tactical problem which amounts to minimizing the staffing cost subject to probabilistic service level requirements.
Emir Hüseyin Özder , Evrencan Özcan , and Tamer Eren;2020;https://www.worldscientific.com/doi/abs/10.1142/S0219622020300050;A Systematic Literature Review for Personnel Scheduling Problems;International Journal of Information Technology & Decision Making;https://doi.org/10.1142/S0219622020300050;44;world_scientific;atlason_et_al_2007,cezik_l_ecuyer_2008;True;0219-6220;C;Abstract Organizations need to focus on many parameters to reach their goals such as personnel satisfaction at the top level, profit maximization, increasing system efficiency and minimizing costs. By carefully examining the significant effect of personnel scheduling on the production of goods and services, achieving a fair distribution of work among the employees paves the way for higher motivation and performance of the employees, particularly, in production and service industries. In this paper, a systematic literature review (SLR) approach is used to demonstrate the necessity of scheduling studies in order to overcome the deficiencies in auxiliary activity groups. It sheds light on a new and very important areas such as examining the model structures of sector differences, and guiding researchers. New trends and approaches are presented for the personnel scheduling problems. Different classification perspectives are displayed.
Emmanuel D. (Manos) Hatzakis,  Suresh K. Nair,  Michael Pinedo;2010;https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1937-5956.2010.01163.x;Operations in Financial Servicesï¿½An Overview;Production and Operations Management;https://doi.org/10.1111/j.1937-5956.2010.01163.x;109;wiley;feldman_et_al_2008,soyer_tarimcilar_2007,taylor_2007;True;1059-1478;A;Abstract We provide an overview of the state of the art in research on operations in financial services. We start by highlighting a number of specific operational features that differentiate financial services from other service industries, and discuss how these features affect the modeling of financial services. We then consider in more detail the various different research areas in financial services, namely systems design, performance analysis and productivity, forecasting, inventory and cash management, waiting line analysis for capacity planning, personnel scheduling, operational risk management, and pricing and revenue management. In the last section, we describe the most promising research directions for the near future.
Emre Emil- E. Lerzan Ormeci- F. Sibel Salman All Authors;2007;https://ieeexplore.ieee.org/abstract/document/4383904/;Shift Scheduling in Call Centers with Multiple Skill Sets and Transportation Costs;2007 IEEE International Conference on Service Operations and Logistics, and Informatics;https://doi.org/10.1109/SOLI.2007.4383904;3;ieeexplore;cezik_l_ecuyer_2008;False;unknown;k.R.;Abstract: Workforce plans in call centers, mostly working 24 hours a day and 7 days a week, have to satisfy both customer service levels and personnel constraints. Moreover, in large metropolitans such as Istanbul, call centers provide the transportation of the staff, so that shuttle costs constitute a major part of the total operational costs. We present a mathematical model which minimizes the transportation costs while satisfying service level and personnel constraints. We test our model with data from call centers.
Emre Nadar,  Mustafa Akan,  Alan Scheller-Wolf;2015;https://onlinelibrary.wiley.com/doi/abs/10.1111/poms.12498;Experimental Results Indicating Lattice-Dependent Policies May Be Optimal for General Assemble-To-Order Systems;Production and Operations Management;https://doi.org/10.1111/poms.12498;20;wiley;bhandari_et_al_2008;True;1059-1478;A;Abstract We consider an assemble-to-order (ATO) system with multiple products, multiple components which may be demanded in different quantities by different products, possible batch ordering of components, random lead times, and lost sales. We model the system as an infinite-horizon Markov decision process under the average cost criterion. A control policy specifies when a batch of components should be produced, and whether an arriving demand for each product should be satisfied. Previous work has shown that a lattice-dependent base-stock and lattice-dependent rationing (LBLR) policy is an optimal stationary policy for a special case of the ATO model presented here (the generalized M-system). In this study, we conduct numerical experiments to evaluate the use of an LBLR policy for our general ATO model as a heuristic, comparing it to two other heuristics from the literature: a state-dependent base-stock and state-dependent rationing (SBSR) policy, and a fixed base-stock and fixed rationing (FBFR) policy. Remarkably, LBLR yields the globally optimal cost in each of more than 22,500 instances of the general problem, outperforming SBSR and FBFR with respect to both objective value (by up to 2.6% and 4.8%, respectively) and computation time (by up to three orders and one order of magnitude, respectively) in 350 of these instances (those on which we compare the heuristics). LBLR and SBSR perform significantly better than FBFR when replenishment batch sizes imperfectly match the component requirements of the most valuable or most highly demanded product. In addition, LBLR substantially outperforms SBSR if it is crucial to hold a significant amount of inventory that must be rationed.
Eric Buist- Wyean Chan- Pierre L'Ecuyer All Authors;2008;https://ieeexplore.ieee.org/abstract/document/4736250/;Speeding up call center simulation and optimization by Markov chain uniformization;2008 Winter Simulation Conference;https://doi.org/10.1109/WSC.2008.4736250;13;ieeexplore;cezik_l_ecuyer_2008;False;unknown;k.R.;Abstract: Staffing and scheduling optimization in large multi-skill call centers is time-consuming, mainly because it requires lengthy simulations to evaluate performance measures and their sensitivity. Simplified models that provide tractable formulas are unrealistic in general. In this paper we explore an intermediate solution, based on an approximate continuous-time Markov chain model of the call center. This model is more accurate than the commonly used approximations, and yet can be simulated faster than a more realistic simulation (based on non-exponential distributions and additional details). To speed up the simulation, we uniformize the Markov chain and simulate only its discrete-time version. We show how performance measures such as the fraction of calls of each type answered within a given waiting time limit can be recovered from this simulation, how to synchronize common random numbers in this setting, and how to use this in the first phase of an optimization algorithm based on the cutting plane method. We also discuss various implementation issues and provide empirical results.
Erik Beulen ;2013;https://link.springer.com/chapter/10.1007/978-3-642-40951-6_13;Business Process Outsourcing in Suriname: Call Center Services;Advances in Global Sourcing. Models, Governance, and Relationships;no doi;1;springer_chapter;askin_et_al_2008;False;unknown;k.R.;Abstract Suriname is emerging as a popular low-cost country in South America with Dutch language capabilities combined with a substantial pool of qualified professionals to perform call center services. Based on Gartner selection criteria, we explore the attractiveness of Suriname for providing call center services. Two case studies, including six interviews, are conducted as the method for exploring this question. The interviewees indicated that language capabilities, low cost, and the availably of qualified resources have been the main drivers for sourcing call center services out of Suriname. The anticipated decrease in connectivity cost will also increase Suriname’s attractiveness in providing call center services. Additionally, we identify improvement areas, such as increasing the onshore/offshore ratio and English-language call center services. A major limitation of this research is that the interviews are limited to representatives employed by call centers in Suriname, which adds significant bias to the study. Keywords Business Process Outsourcing call center services offshore outsourcing outsourcing and Suriname
Eryn Juan He , Joel Goh;2021;https://pubsonline.informs.org/doi/abs/10.1287/mnsc.2021.4177;Profit or Growth? Dynamic Order Allocation in a Hybrid Workforce;Management Science;https://doi.org/10.1287/mnsc.2021.4177;10;pubsonline;bhandari_et_al_2008;True;0025-1909;A+;Abstract Modern digital technology has enabled the emergence of the hybrid workforce in service organizations, where a firm uses on-demand freelancers to augment its traditional labor supply of employees. Freelancers are typically supplied by an electronic platform. How should demand be allocated between employees and freelancers? Under what conditions is the system (comprising the firm and its platform) sustainable in the long run? We investigate these questions in the context of last-mile delivery. We develop a discrete-time, stochastic dynamic program that captures the system’s profit from serving demand and the platform’s growth dynamics. The dynamic model incorporates a service constraint for the platform and a simple version of a stochastic network effect. We find that the answers to our research questions critically depend on two key parameters: the mean and variance of the cross-network effect. We conduct a numerical study with data from a last-mile delivery firm in Vietnam to illustrate our findings. This paper was accepted by Vishal Gaur, operations management.
Eugene Furman , Alex Cressman, Saeha Shin, Alexey Kuznetsov, Fahad Razak, Amol Verma & Adam Diamant ;2021;https://link.springer.com/article/10.1007/s10729-021-09561-5;Prediction of personal protective equipment use in hospitals during COVID-19;Health Care Management Science;https://doi.org/10.1007/s10729-021-09561-5;11;springer_article;feldman_et_al_2008;True;1386-9620;A;Abstract Demand for Personal Protective Equipment (PPE) such as surgical masks, gloves, and gowns has increased significantly since the onset of the COVID-19 pandemic. In hospital settings, both medical staff and patients are required to wear PPE. As these facilities resume regular operations, staff will be required to wear PPE at all times while additional PPE will be mandated during medical procedures. This will put increased pressure on hospitals which have had problems predicting PPE usage and sourcing its supply. To meet this challenge, we propose an approach to predict demand for PPE. Specifically, we model the admission of patients to a medical department using multiple independent M_{t}/G/\infty queues. Each queue represents a class of patients with similar treatment plans and hospital length-of-stay. By estimating the total workload of each class, we derive closed-form estimates for the expected amount of PPE required over a specified time horizon using current PPE guidelines. We apply our approach to a data set of 22,039 patients admitted to the general internal medicine department at St. Michael’s hospital in Toronto, Canada from April 2010 to November 2019. We find that gloves and surgical masks represent approximately 90% of predicted PPE usage. We also find that while demand for gloves is driven entirely by patient-practitioner interactions, 86% of the predicted demand for surgical masks can be attributed to the requirement that medical practitioners will need to wear them when not interacting with patients.
Eugene Furman,  Adam Diamant,  Murat Kristal;2021;https://onlinelibrary.wiley.com/doi/abs/10.1111/poms.13520;Customer Acquisition and Retention: A Fluid Approach for Staffing;Production and Operations Management;https://doi.org/10.1111/poms.13520;13;wiley;bhandari_et_al_2008,feldman_et_al_2008;True;1059-1478;A;Abstract We investigate the trade-off between acquisition and retention efforts when customers are sensitive to the quality of service they receive, that is, whether they get timely access to a company's resources when requested. We model the problem as a multi-class queueing network with new and returning customers, time-dependent arrivals, and abandonment. We derive its fluid approximation, a system of ordinary linear differential equations with continuous, piecewise smooth, right-hand sides. Based on the fluid model, we propose a novel approach to determine optimal stationary staffing levels for new and returning customer queues in anticipation of future time-varying dynamics. Using system accessibility as a proxy for service quality and staffing levels as a proxy for investment, we demonstrate how to apply our approach to two families of time-varying arrival functions motivated by real-world applications: an advertising campaign and a clinical setting. In a numerical study, we demonstrate that our approach creates staffing policies that maximize throughput while balancing acquisition and retention efforts more effectively (i.e., equitable abandonment from each customer class) than commonly used near-stationary methods such as variants of square-root staffing policies. Our model confirms that acquisition and retention efforts are intimately linked, this has been found in empirical studies but not captured in the operations literature. We suggest that in time-varying environments, focusing on either alone is not sufficient to maintain high levels of throughput and service quality.
Fabian Lorig ;2019;https://link.springer.com/chapter/10.1007/978-3-658-27588-4_5;Hypothesis-Driven Simulation Studies;Hypothesis-Driven Simulation Studies;https://doi.org/10.1007/978-3-658-27588-4_5;10;springer_chapter;atlason_et_al_2007;False;unknown;k.R.;Abstract As part of the requirement analysis, challenges were defined for the formalization of hypotheses. Yet, it seems that these requirements are insufficiently met in practice. With respect to the replicable and reproducible verification of hypotheses in simulation studies, shortcomings of existing procedure models for simulation studies were identified.
Fatemeh S. Hashemi- Soumyadip Ghosh- Raghu Pasupathy All Authors;2015;https://ieeexplore.ieee.org/abstract/document/7020221/;On adaptive sampling rules for stochastic recursions;Proceedings of the Winter Simulation Conference 2014;https://doi.org/10.1109/WSC.2014.7020221;30;ieeexplore;atlason_et_al_2007;False;unknown;k.R.;Abstract: We consider the problem of finding a zero of an unknown function, or optimizing an unknown function, with only a stochastic simulation that outputs noise-corrupted observations. A convenient paradigm to solve such problems takes a deterministic recursion, e.g., Newton-type or trust-region, and replaces function values and derivatives appearing in the recursion with their sampled counterparts. While such a paradigm is convenient, there is as yet no clear guidance on how much simulation effort should be expended as the resulting recursion evolves through the search space. In this paper, we take the first steps towards answering this question. We propose using a fully sequential Monte Carlo sampling method to adaptively decide how much to sample at each point visited by the stochastic recursion. The termination criterion for such sampling is based on a certain relative width confidence interval constructed to ensure that the resulting iterates are consistent, and efficient in a rigorous (Monte Carlo canonical) sense. The methods presented here are adaptive in the sense that they “learn” to sample according to the algorithm trajectory. In this sense, our methods should be seen as refining recent methods in a similar context that use a predetermined sequence of sample sizes.
Filippo Maria Bianchi- Enrico De Santis- Antonello Rizzi- Alireza Sadeghian All Authors;2015;https://ieeexplore.ieee.org/abstract/document/7286732/;Short-Term Electric Load Forecasting Using Echo State Networks and PCA Decomposition;IEEE Access;https://doi.org/10.1109/ACCESS.2015.2485943;151;ieeexplore;taylor_2007;False;unknown;k.R.;Abstract: In this paper, we approach the problem of forecasting a time series (TS) of an electrical load measured on the Azienda Comunale Energia e Ambiente (ACEA) power grid, the company managing the electricity distribution in Rome, Italy, with an echo state network (ESN) considering two different leading times of 10 min and 1 day. We use a standard approach for predicting the load in the next 10 min, while, for a forecast horizon of one day, we represent the data with a high-dimensional multi-variate TS, where the number of variables is equivalent to the quantity of measurements registered in a day. Through the orthogonal transformation returned by PCA decomposition, we reduce the dimensionality of the TS to a lower number k of distinct variables, this allows us to cast the original prediction problem in k different one-step ahead predictions. The overall forecast can be effectively managed by k distinct prediction models, whose outputs are combined together to obtain the final result. We employ a genetic algorithm for tuning the parameters of the ESN and compare its prediction accuracy with a standard autoregressive integrated moving average model.
Francis de Véricourt, Otis B. Jennings;2008;https://pubsonline.informs.org/doi/abs/10.1287/opre.1070.0464;Dimensioning Large-Scale Membership Services;Operations Research;https://doi.org/10.1287/opre.1070.0464;24;pubsonline;milner_olsen_2008;True;0030-364X;A+;Abstract Motivated by workforce planning problems in health care, professional, warranty, and repair services, we propose modeling service centers that are exclusively dedicated to fixed client constituencies as closed multiserver queueing systems, a framework we refer to as membership services. We provide fluid and diffusion approximations of the number of users within the membership who are requesting service. The approximations are obtained via many-server limit theorems, where the limiting regime assumptions of each theorem correspond to a particular staffing strategy a manager might employ. Accordingly, we propose staffing rules designed to meet a certain desired performance criterion. In particular, when the objective is to minimize the staffing size subject to a constraint on the probability of delay for a service-requesting customer, we suggest staffing rules inspired by the so-called quality- and efficiency-driven (QED), or Halfin-Whitt, limiting regime. Numerical evaluations of our proposed QED scheme indicate that, although justified for large systems, the staffing rule performs well for memberships of all sizes.
Galit B. Yom-Tov, Avishai Mandelbaum;2014;https://pubsonline.informs.org/doi/abs/10.1287/msom.2013.0474;Erlang-R: A Time-Varying Queue with Reentrant Customers, in Support of Healthcare Staffing;Manufacturing & Service Operations Management;https://doi.org/10.1287/msom.2013.0474;193;pubsonline;feldman_et_al_2008;True;unknown;k.R.;Abstract We analyze a queueing model that we call Erlang-R, where the “R” stands for reentrant customers. Erlang-R accommodates customers who return to service several times during their sojourn within the system, and its modeling power is most pronounced in time-varying environments. Indeed, it was motivated by healthcare systems, in which offered-loads vary over time and patients often go through a repetitive service process. Erlang-R helps answer questions such as how many servers (physicians/nurses) are required to achieve predetermined service levels. Formally, it is merely a two-station open queueing network, which, in a steady state, evolves like an Erlang-C (M/M/s) model. In time-varying environments, on the other hand, the situation differs: here one must account for the reentrant nature of service to avoid excessive staffing costs or undesirable service levels. We validate Erlang-R against an emergency ward (EW) operating under normal conditions as well as during a mass casualty event (MCE). In both scenarios, we apply time-varying fluid and diffusion approximations: the EW is critically loaded and the MCE is overloaded. In particular, for the EW we propose a time-varying square-root staffing policy, based on the modified offered-load, which is proved to perform well over small-to-large systems.
Galit B. Yom-Tov- Tali Zeitler All Authors;2019;https://ieeexplore.ieee.org/abstract/document/8632519/;DELAY GUARANTEE PLANNING OF CALL-BACK OPTIONS IN TIME-VARYING SERVICE SYSTEMS;2018 Winter Simulation Conference (WSC);https://doi.org/10.1109/WSC.2018.8632519;2;ieeexplore;feldman_et_al_2008;False;unknown;k.R.;"Abstract: Many service centers offer a ""call-back"" option, in which customers entering the queue are informed of the anticipated (online) wait and can choose to wait either online or off-line till an agent contacts them. We show that such a policy has the potential of both improving service performance and server utilization, by balancing the load between overloaded and underloaded periods. However, our analysis suggests that companies need not offer that service at all times, and that the delay guarantees proposed should be planned according to the anticipated load throughout the day. In order to optimize the operation of such a system, we develop an Iterative Simulation Algorithm to determine what delay guarantees the company should offer in a time-varying environment. Those guarantees depend on service level targets the company wishes to provide and the delay sensitivity of the online vs. off-line customers."
Gargi B. Dasgupta, Renuka Sindhgatta & Shivali Agarwal ;2013;https://link.springer.com/chapter/10.1007/978-3-642-45005-1_56;Behavioral Analysis of Service Delivery Models;Service-Oriented Computing;no doi;7;springer_chapter;cezik_l_ecuyer_2008;False;unknown;k.R.;Abstract Enterprises and IT service providers are increasingly challenged with the goal of improving quality of service while reducing cost of delivery. Effective distribution of complex customer workloads among delivery teams served by diverse personnel under strict service agreements is a serious management challenge. Challenges become more pronounced when organizations adopt ad-hoc measures to reduce operational costs and mandate unscientific transformations. This paper simulates different delivery models in face of complex customer workload, stringent service contracts, and evolving skills, with the goal of scientifically deriving design principles of delivery organizations. Results show while Collaborative models are beneficial for highest priority work, Integrated models works best for volume-intensive work, through up-skilling the population with additional skills. In repetitive work environments where expertise can be gained, these training costs are compensated with higher throughput. This return-on-investment is highest when people have at most two skills. Decoupled models work well for simple workloads and relaxed service contracts. Keywords Completion Time Service Time Service Request Service Time Distribution Collaborative Model These keywords were added by machine and not by the authors. This process is experimental and the keywords may be updated as the learning algorithm improves.
Gavriel Salvendy;2012;https://onlinelibrary.wiley.com/doi/pdf/10.1002/9781118131350#page=504;Handbook of Human Factors and Ergonomics;Book;no doi;47;wiley;murthy_et_al_2008;False;unknown;k.R.;The fourth edition of the Handbook of Human Factors and Ergonomics has been completely revised and updated.  This includes all existing third edition chapters plus new chapters written to cover new areas.  These include the following subjects: Managing low-back disorder risk in the workplace, Online interactivity, Neuroergonomics, Office ergonomics, Social networking, HF&E in motor vehicle transportation, User requirements, Human factors and ergonomics in aviation, Human factors in ambient intelligent environments As with the earlier editions, the main purpose of this handbook is to serve the needs of the human factors and ergonomics researchers, practitioners, and graduate students. Each chapter has a strong theory and scientific base, but is heavily focused on real world applications. As such, a significant number of case studies, examples, figures, and tables are included to aid in the understanding and application of the material covered.
Gen Li , Jianhua Z. Huang & Haipeng Shen;2018;https://www.tandfonline.com/doi/abs/10.1080/01621459.2018.1423985;To Wait or Not to Wait: Two-Way Functional Hazards Model for Understanding Waiting in Call Centers;Journal of the American Statistical Association;https://doi.org/10.1080/01621459.2018.1423985;9;tandfonline;atlason_et_al_2007;False;unknown;k.R.;ABSTRACT Telephone call centers offer a convenient communication channel between businesses and their customers. Efficient management of call centers needs accurate modeling of customer waiting behavior, which contains important information about customer patience (how long a customer is willing to wait) and service quality (how long a customer needs to wait to get served). Hazard functions offer dynamic characterization of customer waiting behavior, and provide critical inputs for agent scheduling. Motivated by this application, we develop a two-way functional hazards (tF-Hazards) model to study customer waiting behavior as a function of two timescales, waiting duration and the time of day that a customer calls in. The model stems from a two-way piecewise constant hazard function, and imposes low-rank structure and smoothness on the hazard rates to enhance interpretability. We exploit an alternating direction method of multipliers algorithm to optimize a penalized likelihood function of the model. We carefully analyze the data from a U.S. Bank call center, and provide informative insights about customer patience and service quality patterns along waiting time and across different times of a day. The findings provide primitive inputs for call center agent staffing and scheduling, as well as for call center practitioners to understand the effect of system protocols on customer waiting behavior. Supplementary materials for this article are available online.
Geoffrey A. Meester,  Anuj Mehrotra,  Harihara Prasad Natarajan,  Michael J. Seifert;2010;https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1937-5956.2010.01154.x;Optimal Configuration of a Service Delivery Network: An Application to a Financial Services Provider;Production and Operations Management;https://doi.org/10.1111/j.1937-5956.2010.01154.x;6;wiley;askin_et_al_2008,atlason_et_al_2007,cezik_l_ecuyer_2008,milner_olsen_2008,ren_zhou_et_al_2008;True;1059-1478;A;Abstract Driven by market pressures, financial service firms are increasingly partnering with independent vendors to create service networks that deliver greater profits while ensuring high service quality. In the management of call center networks, these partnerships are common and form an integral part of the customer care and marketing strategies in the financial services industry. For a financial services firm, configuring such a call center service network entails determining which partners to select and how to distribute service requests among vendors, while incorporating their capabilities, costs, and revenue-generating abilities. Motivated by a problem facing a Fortune 500 financial services provider, we develop and apply a novel mixed integer programming model for the service network configuration problem. Our tactical decision support model effectively accounts for the firm's costs by capturing the impact of service requirements on vendor staffing levels and seat requirements, and permits imposing call routing preferences and auxiliary service costs. We implemented the model and applied it to data from an industry partner. Results suggest that our approach can generate considerable cost savings and substantial additional revenues, while ensuring high service quality. Results based on test instances demonstrate similar savings and outperform two rule-based methods for vendor assignment.
Ger M. Koole , Siqiao Li;2023;https://pubsonline.informs.org/doi/abs/10.1287/stsy.2021.0008;A Practice-Oriented Overview of Call Center Workforce Planning;Stochastic Systems;https://doi.org/10.1287/stsy.2021.0008;6;pubsonline;askin_et_al_2008,atlason_et_al_2007,cezik_l_ecuyer_2008,jouini_et_al_2008,milner_olsen_2008,soyer_tarimcilar_2007,taylor_2007;False;unknown;k.R.;Abstract We give an overview of the practice and science of call center workforce planning, in which we evaluate the commonly used methods by their quality and the theory by its applicability. As such, this paper is useful for developers and consultants interested in the background and advanced methodology of workforce management and for researchers interested in practically relevant science.
Gergely Mincsovics & Nico Dellaert ;2009;https://link.springer.com/article/10.1007/s10479-009-0547-y;Stochastic dynamic nursing service budgeting;Annals of Operations Research;https://doi.org/10.1007/s10479-009-0547-y;8;springer_article;atlason_et_al_2007;True;0254-5330;B;Abstract We address the nursing service budgeting problem from the department manager’s point of view. The model allocates the budget dynamically to three types of nursing care capacities: 1) permanent nurses, 2) temporary nurses, and 3) overtime. The quarterly tactical decisions are the aggregate weekly shift pattern of permanent nurses and the policy for hiring temporary nurses and using overtime. The decisions are optimized with respect to nursing care shortage and a soft-constraint on the annual budget. For the aggregate weekly shift pattern, permanent nurses require a notification lead-time of one quarter to prepare the personal rosters. Our model offers a solution to the nursing service budgeting problem that extends the existing literature by using a Markovian demand model, resolving the anticipation of the operational decisions, and applying general budget as well as shortage penalty functions.
Gianmario Motta- Thiago Barroero- Daniele Sacco- Linlin You All Authors;2013;https://ieeexplore.ieee.org/abstract/document/6599389/;Forecasting in Multi-skill Call Centers: A Multi-agent Multi-service (MAMS) Approach: Research in Progress;2013 Fifth International Conference on Service Science and Innovation;https://doi.org/10.1109/ICSSI.2013.47;4;ieeexplore;cezik_l_ecuyer_2008,feldman_et_al_2008,soyer_tarimcilar_2007,taylor_2007;False;unknown;k.R.;Abstract: Workforce management is critical in call center business. Human resources are the highest cost, and therefore efficiency is a key success factor. On the other side relevant peaks of incoming calls have to be served. We here consider a complex case, with a many-to-many relationship between agents and services, i.e. the same agent serves many customers and the same customer may be served by many agents. In this perspective, we propose a model to forecast calls in long- and mid-term by ARIMA (Auto-Regressive Integrated Moving Average), and to size workforce in mid-term by integrating an Erlang model. Finally, we have developed a tool to forecast calls in a multi-agent multi-service call center. Field tests are running and first results validate our model.
Gianpaolo Ghiani, Emanuele Manni, Antonella Quaranta;2009;https://pubsonline.informs.org/doi/abs/10.1287/trsc.1090.0293;Shift Scheduling Problem in Same-Day Courier Industry;Transportation Science;https://doi.org/10.1287/trsc.1090.0293;7;pubsonline;atlason_et_al_2007;True;0041-1655;A;Abstract This paper deals with the problem of minimizing the staffing cost of a same-day courier company subject to service-level requirements. The problem has been modeled as an integer program with nonlinear probabilistic constraints. We have devised a heuristic procedure to explore the search space efficiently through an approximated neighborhood evaluation (ANE) model, relying on the estimation (via simulation) of a reduced number of parameters. Computational results show that, compared to traditional neighborhood search procedures, the ANE approach provides significant cost reductions in a typical same-day courier setting.
